1,MSIS301,Operations Management
14,MATH360,Abstract Algebra
2,MSIS415,Advanced Coding for Analytics
10,CS310,Advanced Data Structures and Algorithms
23,MSIS411,Advanced Database Systems 
9,CS470,An Introduction to Articial Intelligence
43,CS444,An Introduction to Operating Systems 
17,MATH450,An Introduction to real analysis
33,CS410,An Introduction to Software Engineering 
18,MATH455,An Introduction to Statistical Machine Learning
36,CS420,An Introduction to the Theory of Computation 
5,CS413,Applied Cryptography
41,CS438,Applied Machine Learning 
35,CS414,Blockchain Technology
29,MSIS498,College of Management Honors Research Seminar 
30,MSIS499,College of Management Honors Thesis Seminar 
34,CS411,Competitive Programming 
8,CS451,Compilers
16,MATH448,Computational Statitsics
11,CS341,Computer Architecture and Organization
12,CS461,Computer Games Programming
42,CS442,Cybersecurity in the Internet of Things 
39,CS436,Database Application Development 
37,CS430,Database Management 
40,CS437,Database-Backed Web Sites & Web Services 
13,MATH309,Financial Mathematics
15,MATH440,General Topology
47,CS460,Graphics 
51,CS498,Honors Thesis 
28,MSIS488/CS478,Independent Study 
4,MSIS428L,Information System Security
22,MSIS310,Introduction to Coding for Business 
45,CS449,Introduction to Computer Security 
44,CS446,Introduction to Internetworking 
27,MSIS480,Management Science and Information Systems Internship 
20,MATH470,Mathematical Logic
7,CS443,Mobile Applications
50,CS495,Practicum in Computer Science 
32,IT485,Project Capstone
3,MSIS425L/IT425L,Project Management
38,CS435,Recommender Systems 
49,CS480,Special Topics 
24,MSIS435,Sport Information and Analytics 
25,MSIS454L,Supply Chain Management 
19,MATH460,Survey of Geometry
26,MSIS461L,Systems Analysis and Design 
46,CS450,The Structure of Higher Level Languages 
21,MATH490,Thesis research
6,CS415,User Interface Design
